Appliance,Brand,Model.No,CEC,SRI,Star,Cap,Normalised cap,Durability,Cost,Total Defence
Clothes Dryer,AEG,WP,121,6.41,6,5.5,2.5,3,7.21,5
Clothes Dryer,GALANZ,XQG70-DA112PE,148,2.38964,2,3.5,1.5,3,3.48,
Clothes Dryer,MIELE,T230C,209,2.46,2,5,2.5,3,4.09,
Clothes Dryer,MIELE,T253C,212,2.37,2,5,2.5,3,4.12,
Clothes Dryer,LG,WD14130FD6,215,1.638272,1.5,4.5,2,3,3.65,
Clothes Dryer,LG,WD14130RD6,215,1.638272,1.5,4.5,2,3,3.65,
Clothes Dryer,MIELE,T220,206,2.54,2.5,5,2.5,3,4.56,
Clothes Dryer,LG,WD-1458RD,177,2.1102,2,4,1.5,3,3.77,
Clothes Dryer,LG,WD-1457RD,177,2.1102,2,4,1.5,3,3.77,
Clothes Dryer,LG,WD-1435 RD,174,2.2154,2,4,1.5,3,3.74,
Clothes Dryer,OMEGA,WD1052,114,1.92,1.5,2.5,1,3,2.64,
Clothes Dryer,LG,WD14700RD,174,2.2154,2,4,1.5,3,3.74,
Clothes Dryer,ASKO,T720,234,1.76,1.5,5,2.5,3,3.84,
Clothes Dryer,ELECTROLUX,EWW14791W,168,3.78,3.5,5,2.5,3,5.18,
Clothes Dryer,ASKO,TD 22,234,1.76,1.5,5,2.5,3,3.84,
Clothes Dryer,ELECTROLUX,EWD 1477,126,3.38,3,3.5,1.5,3,4.26,
Clothes Dryer,Haier,GDZ22-1,443,2.1,2,10,5,3,6.43,
Clothes Dryer,ELECTROLUX,EWD1477,140,2.73,2.5,3.5,1.5,3,3.9,
Clothes Dryer,SAMSUNG ELECTRONICS,WD7704C8C.,145,3.337,3,4,1.5,3,4.45,
Clothes Dryer,SAMSUNG ELECTRONICS,WD8122CVW,265,2.1218,2,6,3,3,4.65,
Clothes Dryer,WHIRLPOOL,AWZ233,256,2.33,2,6,3,3,4.56,
Clothes Dryer,WHIRLPOOL,AWZ220,230,1.87,1.5,5,2.5,3,3.8,
Clothes Dryer,MIELE,WT2670,84,3.8036,3.5,2.5,1,3,4.34,
Clothes Dryer,LG,WD-1480 RD,142,3.4659,3,4,1.5,3,4.42,
Clothes Dryer,Haier,XQG50-AB1100CTX,115,0.5,1,2,0.5,3,2.15,
Clothes Dryer,LG,WD-1290 RD,210,2.4314,2,5,2.5,3,4.1,
Clothes Dryer,MAYTAG,MDE 8550 AGW,418,1.812,1.5,9,4.5,3,5.68,
Clothes Dryer,ARISTON,AML 125,143,2.6177,2.5,3.5,1.5,3,3.93,
Clothes Dryer,LG,WD-1433 RD,174,2.2154,2,4,1.5,3,3.74,
Clothes Dryer,SAMSUNG ELECTRONICS,WD-J1255C,153,3.0068,3,4,1.5,3,4.53,
Clothes Dryer,LG,WD-1485RD,163,2.6173,2.5,4,1.5,3,4.13,
Clothes Dryer,INDESIT,WIDL 106.,143,2.6177,2.5,3.5,1.5,3,3.93,
Clothes Dryer,INDESIT,WIDL106,150,3.1287,3,4,1.5,3,4.5,
Clothes Dryer,LG,WD-1227RD,203,3.7618,3.5,6,3,3,5.53,
Clothes Dryer,MIELE,T1526,247,2.55,2.5,6,3,3,4.97,
Clothes Dryer,ASKO,T 781,213,2.34,2,5,2.5,3,4.13,
Clothes Dryer,ASKO,TD 44,213,2.34,2,5,2.5,3,4.13,
Clothes Dryer,ASKO,T 741,213,2.34,2,5,2.5,3,4.13,
Clothes Dryer,ASKO,TD 44,213,2.34,2,5,2.5,3,4.13,
Clothes Dryer,LG,WD-12498FD,204,2.6503,2.5,5,2.5,3,4.54,
Clothes Dryer,LG,WD-12490FD,204,2.6503,2.5,5,2.5,3,4.54,
Clothes Dryer,BOSCH,WTL6300AU,257,2.31,2,6,3,3,4.57,
Clothes Dryer,BOSCH,WTL6500AU,257,2.31,2,6,3,3,4.57,
Clothes Dryer,KLEENMAID ST GEORGE,LEK33/37  LEG33/37,437,2.19,2,9,4.5,3,6.37,
Clothes Dryer,LG,WD12495FD,204,2.6503,2.5,5,2.5,3,4.54,
Clothes Dryer,LG,WD12490FD,204,2.6503,2.5,5,2.5,3,4.54,
Clothes Dryer,Technika,TWDC84,153,3.006833015,3,4,1.5,3,4.53,
Clothes Dryer,BOSCH,WTL6500AU,257,2.31,2,6,3,3,4.57,
Clothes Dryer,BOSCH,WTL6300AU,257,2.31,2,6,3,3,4.57,
Clothes Dryer,LG,WD-1481RD,163,2.6173,2.5,4,1.5,3,4.13,
Clothes Dryer,LG,WD-1247RD and WD-1248RD,229,1.8984,1.5,5,2.5,3,3.79,
Clothes Dryer,LG,WD-1438RD,174,2.2154,2,4,1.5,3,3.74,
Clothes Dryer,LG,WD-1488RD,173,2.2509,2,4,1.5,3,3.73,
Clothes Dryer,CANDY,CB 103 TR,91,0.21,1,1.5,0,3,1.91,
Clothes Dryer,FISHER & PAYKEL,ED56,227,1.31,1,4.5,2,3,3.27,
Clothes Dryer,MAYTAG,MDE8426,405,2,2,9,4.5,3,6.05,
Clothes Dryer,MAYTAG,MDE3050,405,2,2,9,4.5,3,6.05,
Clothes Dryer,LG,TD-C901H,170,7.34829467,6,9,4.5,3,7.7,
Clothes Dryer,ARISTON,AL 128 D,143,2.61,2.5,3.5,1.5,3,3.93,
Clothes Dryer,SAMSUNG ELECTRONICS,WD8122CVB,265,2.1218,2,6,3,3,4.65,
Clothes Dryer,LG,WD12585FD6,311,2.509990391,2.5,7.5,4,3,5.61,
Clothes Dryer,OMEGA,WD9500,203,2.6252,2.5,5,2.5,3,4.53,
Clothes Dryer,LG,WD-1438RD,174,2.2154,2,4,1.5,3,3.74,
Clothes Dryer,LG,WD-1435 RD,174,2.2154,2,4,1.5,3,3.74,
Clothes Dryer,LG,WD14800RD,173,2.2509,2,4,1.5,3,3.73,
Clothes Dryer,CANDY,GO W496D-AUS,207,2.5199,2.5,5,2.5,3,4.57,
Clothes Dryer,ELECTROLUX,EWW1273,142,2.64,2.5,3.5,1.5,3,3.92,
Clothes Dryer,DAEWOO,DWC-ED1232,203,2.6252,2.5,5,2.5,3,4.53,
Clothes Dryer,CANDY,CLD 135 AUS,199,2.09616,2,4.5,2,3,3.99,
Clothes Dryer,LG,WD-1255RD and WD-1256RD,262,2.1919,2,6,3,3,4.62,
Clothes Dryer,LG,WD14030RD6,220,2.4118,1.5,4.5,2,3,3.7,
Clothes Dryer,LG,WD14030FD6,220,2.4118,1.5,4.5,2,3,3.7,
Clothes Dryer,SAMSUNG ELECTRONICS,WD7704C8S.,145,3.337,3,4,1.5,3,4.45,
Clothes Dryer,BOSCH,WTY88700AU,109,8.536686244,6,7,3.5,3,7.09,
Clothes Dryer,BOSCH,WTC84100AU,270,2.006833015,2,6,3,3,4.7,
Clothes Dryer,BOSCH,WTE86303AU,355,2.092892171,2,8,4,3,5.55,
Clothes Dryer,CANDY,GO W496D-01S,207,2.5199,2.5,5,2.5,3,4.57,
Clothes Dryer,SIEMENS,WT48Y780AU,109,8.536686244,6,7,3.5,3,7.09,
Clothes Dryer,euro,EFD735CW,148,2.389638788,2,3.5,1.5,3,3.48,
Clothes Dryer,ASKO,T754HP,164,6.023018779,6,7,3.5,3,7.64,
Clothes Dryer,ASKO,T784HP,164,6.023018779,6,7,3.5,3,7.64,
Clothes Dryer,ASKO,T754C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,ASKO,T784C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,ASKO,T794C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,DAEWOO,DWC-LD1412,220,2.1451,2,5,2.5,3,4.2,
