#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,
Dataset: National Regional Profile,,,,,,,,,,,,,,
Frequency,,,,,,,Annual,,,,,,,
Time,,,,,,,2007,,2008,,2009,,2010,
Location,,,,,Data Item,,,,,,,,,
Total Australia,,,,,Taxation Statistics (year ended 30 June)- Taxable and non-taxable individuals- Avg taxable income ($),,,42476,,43648,,45089,,..
Total Australia,New South Wales,,,,,,,44574,,45439,,46622,,..
,New South Wales,Sydney,,,,,,48956,,49770,,50790,,..
,,Sydney,Inner Sydney,,,,,52804,,53752,,55934,,..
,,,Inner Sydney,Botany Bay (C),,,,41567,,42960,,45955,,..
,,,,Leichhardt (A),,,,71219,,72069,,74096,,..
,,,,Marrickville (A),,,,46608,,48315,,50604,,..
,,,,Sydney (C) - Inner,,,,37182,,37684,,40855,,..
,,,,Sydney (C) - East,,,,66020,,65496,,66457,,..
,,,,Sydney (C) - South,,,,49793,,51133,,53944,,..
,,,,Sydney (C) - West,,,,53142,,54601,,56020,,..
,,,Eastern Suburbs,,,,,74322,,74737,,73796,,..
,,,Eastern Suburbs,Randwick (C),,,,52900,,55149,,56681,,..
,,,,Waverley (A),,,,72410,,74141,,73069,,..
,,,,Woollahra (A),,,,122507,,117823,,111807,,..
,,,St George-Sutherland,,,,,44949,,45602,,47349,,..
,,,St George-Sutherland,Hurstville (C),,,,40902,,41756,,43454,,..
,,,,Kogarah (A),,,,44506,,44822,,46468,,..
,,,,Rockdale (C),,,,39185,,40322,,41460,,..
,,,,Sutherland Shire (A) - East,,,,50982,,51542,,53761,,..
,,,,Sutherland Shire (A) - West,,,,46741,,47296,,49312,,..
,,,Canterbury-Bankstown,,,,,35132,,36629,,37571,,..
,,,Canterbury-Bankstown,Bankstown (C) - North-East,,,,31903,,34130,,34032,,..
,,,,Bankstown (C) - North-West,,,,34132,,35540,,36370,,..
,,,,Bankstown (C) - South,,,,40521,,41883,,43304,,..
,,,,Canterbury (C),,,,34460,,35813,,37062,,..
,,,Fairfield-Liverpool,,,,,35077,,36973,,37826,,..
,,,Fairfield-Liverpool,Fairfield (C) - East,,,,31896,,33569,,33938,,..
,,,,Fairfield (C) - West,,,,35238,,37394,,38151,,..
,,,,Liverpool (C) - East,,,,36981,,38877,,40123,,..
,,,,Liverpool (C) - West,,,,36763,,38712,,39820,,..
,,,Outer South Western Sydney,,,,,39221,,40771,,42175,,..
,,,Outer South Western Sydney,Camden (A),,,,42956,,44512,,46349,,..
,,,,Campbelltown (C) - North,,,,36886,,38634,,39688,,..
,,,,Campbelltown (C) - South,,,,37621,,39039,,40283,,..
,,,,Wollondilly (A),,,,41022,,42348,,44112,,..
,,,Inner Western Sydney,,,,,48362,,49088,,51167,,..
,,,Inner Western Sydney,Ashfield (A),,,,44186,,45665,,47858,,..
,,,,Burwood (A),,,,40783,,41268,,43219,,..
,,,,Canada Bay (A) - Concord,,,,50935,,51999,,53683,,..
,,,,Canada Bay (A) - Drummoyne,,,,61332,,61802,,64621,,..
,,,,Strathfield (A),,,,43602,,43766,,45468,,..
,,,Central Western Sydney,,,,,36993,,38385,,39591,,..
,,,Central Western Sydney,Auburn (A),,,,33130,,34358,,35275,,..
,,,,Holroyd (C),,,,36464,,38170,,39517,,..
,,,,Parramatta (C) - Inner,,,,36804,,38299,,39813,,..
,,,,Parramatta (C) - North-East,,,,42798,,43867,,45147,,..
,,,,Parramatta (C) - North-West,,,,41625,,42857,,44740,,..
,,,,Parramatta (C) - South,,,,32122,,33772,,34462,,..
,,,Outer Western Sydney,,,,,40019,,41387,,43004,,..
,,,Outer Western Sydney,Blue Mountains (C),,,,41472,,42195,,44086,,..
,,,,Hawkesbury (C),,,,40063,,41205,,42486,,..
,,,,Penrith (C) - East,,,,37860,,39592,,41150,,..
,,,,Penrith (C) - West,,,,41074,,42848,,44563,,..
,,,Blacktown,,,,,37902,,39660,,40954,,..
,,,Blacktown,Blacktown (C) - North,,,,41354,,43229,,44949,,..
,,,,Blacktown (C) - South-East,,,,37419,,38835,,40100,,..
,,,,Blacktown (C) - South-West,,,,34502,,36438,,37300,,..
,,,Lower Northern Sydney,,,,,73991,,73926,,74286,,..
,,,Lower Northern Sydney,Hunters Hill (A),,,,97330,,92908,,98791,,..
,,,,Lane Cove (A),,,,75705,,74879,,74982,,..
,,,,Mosman (A),,,,130868,,130174,,125453,,..
,,,,North Sydney (A),,,,82242,,82082,,83408,,..
,,,,Ryde (C),,,,46489,,47730,,49219,,..
,,,,Willoughby (C),,,,74231,,74232,,73229,,..
,,,Central Northern Sydney,,,,,59547,,58770,,59960,,..
,,,Central Northern Sydney,Baulkham Hills (A) - Central,,,,48571,,48983,,51451,,..
,,,,Baulkham Hills (A) - North,,,,52740,,53320,,54335,,..
,,,,Baulkham Hills (A) - South,,,,48824,,48790,,50362,,..
,,,,Hornsby (A) - North,,,,50573,,50768,,52001,,..
,,,,Hornsby (A) - South,,,,53378,,53341,,54472,,..
,,,,Ku-ring-gai (A),,,,84071,,80809,,81055,,..
,,,Northern Beaches,,,,,59400,,59635,,60378,,..
,,,Northern Beaches,Manly (A),,,,74780,,73706,,73924,,..
,,,,Pittwater (A),,,,61216,,60794,,62432,,..
,,,,Warringah (A),,,,54081,,54985,,55536,,..
,,,Central Coast,,,,,37681,,38283,,39412,,..
,,,Central Coast,Gosford (C) - East,,,,41207,,41096,,42634,,..
,,,,Gosford (C) - West,,,,38940,,39534,,40153,,..
,,,,Wyong (A) - North-East,,,,34224,,35318,,36486,,..
,,,,Wyong (A) - South and West,,,,35563,,36489,,37901,,..
,,Hunter,,,,,,40026,,40678,,42824,,..
,,Hunter,Newcastle,,,,,39994,,40754,,42833,,..
,,,Newcastle,Cessnock (C),,,,37884,,39342,,41505,,..
,,,,Lake Macquarie (C) - East,,,,39691,,40529,,42400,,..
,,,,Lake Macquarie (C) - North,,,,39132,,40436,,42444,,..
,,,,Lake Macquarie (C) - West,,,,38573,,38478,,40210,,..
,,,,Maitland (C),,,,41341,,42604,,44813,,..
,,,,Newcastle (C) - Inner City,,,,46398,,46276,,49277,,..
,,,,Newcastle (C) - Outer West,,,,37727,,39093,,40781,,..
,,,,Newcastle (C) - Throsby,,,,41670,,42433,,44790,,..
,,,,Port Stephens (A),,,,37195,,37105,,38775,,..
,,,Hunter SD Bal,,,,,40194,,40273,,42776,,..
,,,Hunter SD Bal,Dungog (A),,,,36672,,36403,,38755,,..
,,,,Gloucester (A),,,,31126,,31126,,33995,,..
,,,,Great Lakes (A),,,,32028,,32062,,32680,,..
,,,,Muswellbrook (A),,,,47899,,46263,,49720,,..
,,,,Singleton (A),,,,48704,,48711,,53884,,..
,,,,Upper Hunter Shire (A),,,,41849,,44011,,45201,,..
,,Illawarra,,,,,,39323,,40072,,41549,,..
,,Illawarra,Wollongong,,,,,40564,,41573,,43150,,..
,,,Wollongong,Kiama (A),,,,42629,,41918,,43173,,..
