Pcode,Locality,Town $
2850,Aarons Pass,34210
6280,Abba River,34210
6280,Abbey,34210
3737,Abbeyard,34210
4613,Abbeywood,34210
2176,Abbotsbury,34210
4670,Abbotsford,34210
3067,Abbotsford,34210
2046,Abbotsford,34210
7315,Abbotsham,34210
8006,Abeckett Street,34210
7112,Abels Bay,34210
4627,Abercorn,34210
2795,Abercrombie,34210
2795,Abercrombie River,34210
2325,Aberdare,34210
2336,Aberdeen,34210
2359,Aberdeen,34210
7310,Aberdeen,34210
3040,Aberfeldie,34210
3825,Aberfeldy,34210
2350,Aberfoyle,34210
5159,Aberfoyle Park,34210
2320,Aberglasslyn,34210
4850,Abergowrie,34210
2326,Abermain,34210
2325,Abernethy,34210
4892,Abingdon Downs,34210
4660,Abington,34210
2350,Abington,34210
2476,Acacia Creek,34210
2763,Acacia Gardens,34210
822,Acacia Hills,34210
7306,Acacia Hills,34210
4110,Acacia Ridge,34210
3714,Acheron,34210
4401,Acland,34210
7320,Acton,26978
2601,Acton,26978
6280,Acton Park,26978
7170,Acton Park,26978
3833,Ada,26978
2629,Adaminaby,26978
3984,Adams Estate,26978
2289,Adamstown,26978
2289,Adamstown Heights,26978
6375,Adamsvale,26978
4343,Adare,26978
4474,Adavale,26978
3352,Addington,26978
5000,Adelaide,39933
5001,Adelaide,39933
5800,Adelaide,39933
5810,Adelaide,39933
5839,Adelaide,39933
5920,Adelaide,39933
5950,Adelaide Airport,58641
5000,Adelaide Bc,58641
3465,Adelaide Lead,39216
5860,Adelaide Mail Centre,39216
5861,Adelaide Mail Centre,39216
5862,Adelaide Mail Centre,39216
5863,Adelaide Mail Centre,39216
5864,Adelaide Mail Centre,39216
5865,Adelaide Mail Centre,39216
5866,Adelaide Mail Centre,39216
5867,Adelaide Mail Centre,39216
5868,Adelaide Mail Centre,39216
5869,Adelaide Mail Centre,39216
5870,Adelaide Mail Centre,39216
5871,Adelaide Mail Centre,39216
5872,Adelaide Mail Centre,39216
5873,Adelaide Mail Centre,39216
5874,Adelaide Mail Centre,39216
5875,Adelaide Mail Centre,39216
5876,Adelaide Mail Centre,39216
5877,Adelaide Mail Centre,39216
5878,Adelaide Mail Centre,39216
5879,Adelaide Mail Centre,39216
5880,Adelaide Mail Centre,39216
5881,Adelaide Mail Centre,39216
5882,Adelaide Mail Centre,39216
5883,Adelaide Mail Centre,39216
5884,Adelaide Mail Centre,39216
5885,Adelaide Mail Centre,39216
5886,Adelaide Mail Centre,39216
5887,Adelaide Mail Centre,39216
5888,Adelaide Mail Centre,39216
5889,Adelaide Mail Centre,39216
5890,Adelaide Mail Centre,39216
5891,Adelaide Mail Centre,39216
5892,Adelaide Mail Centre,39216
5893,Adelaide Mail Centre,39216
5894,Adelaide Mail Centre,39216
5895,Adelaide Mail Centre,39216
5896,Adelaide Mail Centre,39216
5897,Adelaide Mail Centre,39216
5898,Adelaide Mail Centre,39216
5899,Adelaide Mail Centre,39216
5900,Adelaide Mail Centre,39216
5901,Adelaide Mail Centre,39216
5902,Adelaide Mail Centre,39216
5903,Adelaide Mail Centre,39216
5904,Adelaide Mail Centre,39216
4703,Adelaide Park,39216
846,Adelaide River,39216
5005,Adelaide University,39216
2729,Adelong,39216
2727,Adjungbilly,39216
4211,Advancetown,39216
7150,Adventure Bay,39216
4870,Aeroglen,39216
2474,Afterlee,39216
5558,Agery,39216
3962,Agnes,39216
2753,Agnes Banks,39216
4677,Agnes Water,39216
2602,Ainslie,50117
4807,Airdmillan,50117
2560,Airds,50117
3237,Aire Valley,50117
3231,Aireys Inlet,50117
4802,Airlie Beach,50117
3851,Airly,50117
3042,Airport West,50117
4807,Airville,50117
4814,Aitkenvale,41059
6532,Ajana,41059
7216,Akaroa,41059
2546,Akolele,41059
4820,Alabama Hill,41059
810,Alawa,43616
5311,Alawoona,43616
3424,Albacutya,43616
3021,Albanvale,43616
6330,Albany,43616
4035,Albany Creek,50033
6331,Albany Dc,50033
6332,Albany Po,50033
2873,Albert,50033
5014,Albert Park,50033
3206,Albert Park,50033
4702,Alberta,50033
3971,Alberton,50033
5014,Alberton,50033
7263,Alberton,50033
4207,Alberton,50033
3971,Alberton West,50033
4010,Albion,55536
4822,Albion,55536
3020,Albion,55536
4010,Albion Bc,55536
4010,Albion Dc,55536
2527,Albion Park,55536
2527,Albion Park Rail,55536
2640,Albury,38362
7330,Alcomie,38784
2440,Aldavilla,38784
4051,Alderley,50795
4650,Aldershot,50795
6306,Aldersyde,50795
5154,Aldgate,50795
5173,Aldinga,50795
5173,Aldinga Beach,50795
4694,Aldoga,50795
2870,Alectown,50795
6064,Alexander Heights,50795
3714,Alexandra,50795
4740,Alexandra,50795
6288,Alexandra Bridge,50795
4572,Alexandra Headland,50795
4161,Alexandra Hills,37021
2015,Alexandria,37021
1435,Alexandria,37021
2004,Alexandria Mc,37021
5555,Alford,33588
2234,Alfords Point,33588
6154,Alfred Cove,33588
3350,Alfredton,33588
2650,Alfredtown,33588
4115,Algester,41265
872,Ali Curung,41265
2469,Alice,41265
4610,Alice Creek,41265
4817,Alice River,41265
870,Alice Springs,41265
871,Alice Springs,41265
872,Alice Springs,41265
2259,Alison,40122
2420,Alison,40122
6038,Alkimos,40122
3823,Allambee,40122
3871,Allambee Reserve,40122
3871,Allambee South,40122
2100,Allambie Heights,40122
4370,Allan,40122
4310,Allandale,40122
2320,Allandale,40122
6525,Allanooka,40122
3691,Allans Flat,40122
3277,Allansford,40122
6225,Allanson,40122
2218,Allawah,40122
2671,Alleena,40122
5009,Allenby Gardens,40122
3364,Allendale,40122
5291,Allendale East,40122
5373,Allendale North,40122
7150,Allens Rivulet,40122
4700,Allenstown,40122
4285,Allenview,40122
3305,Allestree,40122
2441,Allgomera,40122
4740,Alligator Creek,42177
4816,Alligator Creek,42177
4850,Allingham,42177
4362,Allora,42177
4670,Alloway,42177
2425,Allworth,42177
2311,Allynbrook,42177
5401,Alma,42177
3465,Alma,42177
6535,Alma,42177
2659,Alma Park,42177
4871,Almaden,42177
3727,Almonds,42177
3979,Almurta,42177
7150,Alonnah,42177
4871,Aloomba,42177
4724,Alpha,42177
3078,Alphington,42177
2575,Alpine,42177
4825,Alpurrurulam,31397
4702,Alsace,31397
2477,Alstonvale,31397
2477,Alstonville,31397
4702,Alton Downs,31397
5351,Altona,31397
3018,Altona,31397
3025,Altona East,31397
3025,Altona Gate,31397
3028,Altona Meadows,31397
3025,Altona North,31397
2460,Alumy Creek,31397
4807,Alva,31397
3249,Alvie,31397
885,Alyangula,57355
4570,Amamoor,57355
4570,Amamoor Creek,57355
4829,Amaroo,49123
2914,Amaroo,49123
2866,Amaroo,49123
6632,Ambania,49123
2560,Ambarvale,49123
4871,Amber,49123
6280,Ambergate,49123
4306,Amberley,49123
7310,Ambleside,49123
4695,Ambrose,49123
4462,Amby,49123
6338,Amelup,49123
5222,American Beach,49123
5221,American River,49123
3371,Amherst,49123
4380,Amiens,49123
4183,Amity,49123
4183,Amity Point,49123
872,Amoonguna,49123
3825,Amor,49123
4380,Amosfield,49123
3468,Amphitheatre,49123
872,Ampilatwatja,49123
5431,Amyton,49123
2648,Anabranch North,49123
2648,Anabranch South,49123
4702,Anakie,49123
3213,Anakie,49123
5464,Anama,49123
2320,Anambah,49123
872,Anatye,32093
3715,Ancona,32093
5722,Andamooka,32093
4740,Andergrove,32093
4570,Anderleigh,32093
3995,Anderson,32093
2631,Ando,32093
7120,Andover,32093
5454,Andrews,32093
5114,Andrews Farm,32093
4800,Andromache,32093
4355,Anduramba,32093
2621,Anembo,32093
5255,Angas Plains,32093
5238,Angas Valley,32093
5353,Angaston,32093
6642,Angelo River,32093
5010,Angle Park,32093
5117,Angle Vale,32093
2550,Angledale,32093
2834,Angledool,32093
2629,Anglers Reach,32093
3898,Anglers Rest,32093
3230,Anglesea,32093
2464,Angourie,32093
822,Angurugu,32093
822,Anindilyakwa,32093
6167,Anketell,32093
872,Anmatjere,32093
2316,Anna Bay,32093
5356,Annadale,32093
2038,Annandale,32093
4814,Annandale,32093
2156,Annangrove,32093
4103,Annerley,41508
822,Annie River,41508
6280,Anniebrook,41508
3549,Annuello,41508
7264,Ansons Bay,41508
4070,Anstead,47752
5222,Antechamber Bay,47752
4310,Anthony,47752
4650,Antigua,47752
7120,Antill Ponds,47752
6714,Antonymyre,47752
3414,Antwerp,47752
812,Anula,43199
5237,Apamurra,43199
5413,Apoinga,43199
3233,Apollo Bay,43199
7150,Apollo Bay,43199
5480,Appila,43199
2560,Appin,43199
3579,Appin,43199
3579,Appin South,43199
4660,Apple Tree Creek,43199
2850,Apple Tree Flat,43199
2340,Appleby,43199
6953,Applecross,43199
6153,Applecross,43199
6153,Applecross North,43199
4378,Applethorpe,43199
2330,Appletree Flat,43199
7190,Apslawn,43199
3319,Apsley,43199
2820,Apsley,43199
7030,Apsley,43199
2630,Arable,43199
2431,Arakoon,43199
870,Araluen,43199
2622,Araluen,43199
4570,Araluen,43199
4726,Aramac,43199
4620,Aramara,43199
4054,Arana Hills,43199
4625,Aranbanga,43199
2614,Aranda,49565
3409,Arapiles,49565
3377,Ararat,49565
4309,Aratula,31053
2714,Aratula,31053
3951,Arawata,31053
4892,Arbouin,31053
3858,Arbuckle,31053
4819,Arcadia,31053
2159,Arcadia,31053
3631,Arcadia,31053
3631,Arcadia South,31053
2283,Arcadia Vale,31053
3475,Archdale,31053
3475,Archdale Junction,31053
830,Archer,31053
4892,Archer River,31053
4108,Archerfield,34341
4108,Archerfield Bc,34341
3723,Archerton,34341
3995,Archies Creek,34341
6419,Ardath,34341
3022,Ardeer,34341
2338,Ardglen,34341
2358,Arding,34341
2665,Ardlethan,34341
3629,Ardmona,34341
6153,Ardross,34341
5571,Ardrossan,34341
3480,Areegra,34341
872,Areyonga,34341
2720,Argalong,34341
