ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class
AS/NZS 2442.2:2000/Amdt 2:2007,OMEGA,5.5,,Timer,,850.0,600.0,Each individual model number listed above,OCD120,AS/NZS 2442.1:1996,246,2.0526,2.0,Hot cotton,130.0,Australia,Expired,12452,4.291,,Vented,600.0,2008-05-16,,
AS/NZS 2442.2:2000/Amdt 2:2007,Haier,3.5,,Timer,China,425.0,685.0,Each individual model number listed above,HDM3.5-1,AS/NZS 2442.1:1996,155,2.1,2.0,Strong Dry,220.0,"Australia,New Zealand",Expired,19149,2.71,,Vented,630.0,2010-01-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,WHIRLPOOL,6,,Autosensing,France,,,Each individual model number listed above,AWZ3413,AS/NZS 2442.1:1996,267,2.0756,2.0,"Cotton, Ready to Wear",142.0,"Australia,New Zealand",Expired,21185,4.891,,Vented,,2010-07-11,,
AS/NZS 2442.2:2000/Amdt 2:2007,WHIRLPOOL,5,,Timer,France,,,Each individual model number listed above,AWZ320,AS/NZS 2442.1:1996,224,2.0342,2.0,Cotton Extra Dry,130.0,"Australia,New Zealand",Expired,21178,3.901,,Vented,,2010-07-11,,
AS/NZS 2442.2:2000/Amdt 2:2007,WESTINGHOUSE,5,,Timer,Australia,,,Each individual model number listed above,LD503,AS/NZS 2442.1:1996,247,1.433,1.0,Hot,150.0,"Australia,New Zealand",Expired,14383,3.89,,Vented,,2009-01-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,TELMANN,4.5,False,Timer,China,,,Each individual model number listed above,TEL45D,AS/NZS 2442.1:1996,221,1.48179,1.0,COTTON 150 MIN,150.0,"Australia,New Zealand",Expired,26156,3.513,,Vented,,2011-06-22,,
AS/NZS 2442.2:2000/Amdt 2:2007,TELMANN,4.5,False,Timer,China,,,Each individual model number listed above,TEL45D,AS/NZS 2442.1:1996,221,1.48179,1.0,COTTON 150 MIN,150.0,"Australia,New Zealand",Expired,26156,3.513,,Vented,,2011-06-22,,
AS/NZS 2442.2:2000/Amdt 2:2007,AWARD,5,False,Timer,United Kingdom,,,Each individual model number listed above,T44AW,AS/NZS 2442.1:1996,248,1.408,1.0,"140 minutes, Heat setting Full",124.0,"Australia,New Zealand",Approved,38884,3.897,,Vented,,2013-07-24,,
AS/NZS 2442.2:2000/Amdt 2:2007,WESTINGHOUSE,5,False,Timer,"Australia,Thailand",,,Each individual model number listed above,LD500,AS/NZS 2442.1:1996,231,1.845,1.5,Hot,117.0,"Australia,New Zealand",Expired,24497,3.903,,Vented,,2011-03-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,5,,Autosensing,Poland,570.0,850.0,Each individual model number listed above,EDE 420E,AS/NZS 2442.1:1996,213,2.33,2.0,Store Dry,150.0,"Australia,New Zealand",Expired,15371,3.923,,Vented,600.0,2009-05-25,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,6,,Autosensing,Italy,600.0,850.0,Each individual model number listed above,EDC 510 E,AS/NZS 2442.1:1996,273,1.93,1.5,Ready to Wear,172.0,"Australia,New Zealand",Expired,14940,4.685,,Condenser,600.0,2009-03-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,5,,Timer,Australia,,,Each individual model number listed above,39S500L,AS/NZS 2442.1:1996,244,1.508,1.5,Regular,146.0,"Australia,New Zealand",Expired,14380,3.89,,Vented,,2009-01-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,5,False,Autosensing,"Australia,Thailand",,,Each individual model number listed above,39S505E,AS/NZS 2442.1:1996,224,2.03,2.0,Hot,133.0,"Australia,New Zealand",Expired,24550,3.957,,Vented,,2011-03-02,,
AS/NZS 2442.2:2000/Amdt 2:2007,WESTINGHOUSE,6,False,Autosensing,"Australia,Thailand",,,Each individual model number listed above,LD605E,AS/NZS 2442.1:1996,267,2.076,2.0,Normal dry,157.0,"Australia,New Zealand",Expired,24500,4.787,,Vented,,2011-03-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,5.5,,Autosensing,Germany,,,Each individual model number listed above,WP,AS/NZS 2442.1:1996,121,6.41,6.0,Extra Dry,131.0,,Expired,3747,4.29,0.0,Condenser,,2005-08-31,,
AS/NZS 2442.2:2000/Amdt 2:2007,WESTINGHOUSE,5,,Autosensing,Australia,,,Each individual model number listed above,LD504,AS/NZS 2442.1:1996,238,1.661,1.5,"Sensordry, Normal Setting",150.0,"Australia,New Zealand",Expired,13458,3.993,,Vented,,2008-09-29,,
AS/NZS 2442.2:2000/Amdt 2:2007,WESTINGHOUSE,5,False,Autosensing,"Australia,Thailand",,,Each individual model number listed above,LD505E,AS/NZS 2442.1:1996,222,2.089,2.0,Normal dry,130.0,"Australia,New Zealand",Expired,24498,3.993,,Vented,,2011-03-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,5.5,,Autosensing,Germany,600.0,850.0,Each individual model number listed above,57720,AS/NZS 2442.1:1996,249,1.9802,1.5,Cottons Extra Dry,160.0,Australia,Expired,15118,4.312,,Condenser,600.0,2009-05-17,,
AS/NZS 2442.2:2000/Amdt 2:2007,WESTINGHOUSE,5,,Autosensing,Australia,,,Each individual model number listed above,LD505,AS/NZS 2442.1:1996,232,1.818,1.5,"Sensordry, Normal Setting",155.0,"Australia,New Zealand",Expired,13459,3.987,,Vented,,2008-09-29,,
AS/NZS 2442.2:2000/Amdt 2:2007,GALANZ,3.5,True,Timer,China,,,Each individual model number listed above,XQG70-DA112PE,AS/NZS 2442.1:1996,148,2.38964,2.0,Cottons Drying 198 min,235.0,"Australia,New Zealand",Approved,52319,2.721,0.0,Vented,,2015-08-31,,
AS/NZS 2442.2:2000/Amdt 2:2007,TRIESTE,6,False,Autosensing,China,870.0,650.0,Each individual model number listed above,TR-GDZ60-09E,AS/NZS 2442.1:1996,265,2.0,2.0,Extra Dry Full Load,230.0,New Zealand,Approved,52233,4.702,,Vented,600.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,6.5,False,Autosensing,Poland,,,single,WTW84360AU,AS/NZS 2442.1:1996,117,7.65,6.0,Cottons Cupboard Dry Extra,200.0,"Australia,Fiji,New Zealand",Approved,52098,5.194,,Condenser,,2015-08-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,MIELE,5,,Autosensing,Germany,600.0,850.0,Each individual model number listed above,T230C,AS/NZS 2442.1:1996,209,2.46,2.0,Cottons Normal,117.0,"Australia,New Zealand",Expired,3794,3.92,0.0,Condenser,600.0,2007-05-20,,
AS/NZS 2442.2:2000/Amdt 2:2007,MIELE,5,,Autosensing,Germany,600.0,850.0,Each individual model number listed above,T253C,AS/NZS 2442.1:1996,212,2.37,2.0,Cottons Normal+,114.0,"Australia,New Zealand",Expired,3795,3.97,0.0,Condenser,600.0,2007-05-20,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4.5,True,Autosensing,"""Korea, Republic of""",640.0,850.0,Each individual model number listed above,WD14130FD6,AS/NZS 2442.1:1996/Amdt 4:2006,215,1.6382720002,1.5,"Dry Only, 1400 rpm, Eco dry",261.0,"Australia,New Zealand",Approved,63978,3.608,23.8,Condenser,600.0,2017-03-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4.5,True,Autosensing,"""Korea, Republic of""",640.0,850.0,Each individual model number listed above,WD14130RD6,AS/NZS 2442.1:1996/Amdt 4:2006,215,1.6382720002,1.5,"Dry Only, 1400 rpm, Eco dry",261.0,"Australia,New Zealand",Approved,63978,3.608,23.8,Condenser,600.0,2017-03-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,MIELE,5,,Autosensing,Germany,600.0,850.0,Each individual model number listed above,T220,AS/NZS 2442.1:1996,206,2.54,2.5,Cottons Normal,111.0,"Australia,New Zealand",Expired,3797,3.95,0.0,Vented,600.0,2007-05-20,,
AS/NZS 2442.2:2000/Amdt 2:2007,KLEENMAID,6.5,False,Autosensing,Slovenia,,,Each individual model number listed above,KED501,AS/NZS 2442.1:1996,247,3.04,3.0,Hot cotton program,147.0,"Australia,New Zealand",Expired,33974,5.086,,Vented,,2012-05-30,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4,True,Autosensing,"""Korea, Republic of""",645.0,850.0,single,WD-1458RD,AS/NZS 2442.1:1996,177,2.1102,2.0,Cupboard Dry,200.0,"Australia,New Zealand",Expired,29468,3.168,41.0,Condenser,600.0,2011-08-13,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4,True,Autosensing,"""Korea, Republic of""",645.0,850.0,single,WD-1457RD,AS/NZS 2442.1:1996,177,2.1102,2.0,Cupboard Dry,200.0,"Australia,New Zealand",Expired,29468,3.168,41.0,Condenser,600.0,2011-08-13,,
AS/NZS 2442.2:2000/Amdt 2:2007,TECHNIKA,5,False,Timer,China,515.0,685.0,Each individual model number listed above,T50DM,AS/NZS 2442.1:1996,220,2.145,2.0,Strong Dry,220.0,"Australia,New Zealand",Expired,32840,3.9,,Vented,630.0,2012-02-08,,
AS/NZS 2442.2:2000/Amdt 2:2007,TECHNIKA,3.5,False,Timer,China,425.0,685.0,Each individual model number listed above,T35DM,AS/NZS 2442.1:1996,147,2.41,2.0,Strong Dry,220.0,"Australia,New Zealand",Expired,32841,2.72,,Vented,630.0,2012-02-08,,
AS/NZS 2442.2:2000/Amdt 2:2007,MEZZO,4.5,,Timer,China,,,Each individual model number listed above,MDM4500,AS/NZS 2442.1:1996,221,1.478,1.0,Cotton 150 min,150.0,"Australia,New Zealand",Expired,20003,3.513,,Vented,,2010-04-07,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4,True,Autosensing,"""Korea, Republic of""",850.0,850.0,Each individual model number listed above,WD-1435 RD,AS/NZS 2442.1:1996,174,2.2154,2.0,AutoDry More,236.0,"Australia,New Zealand",Expired,22668,3.169,58.0,Condenser,600.0,2010-12-07,,
AS/NZS 2442.2:2000/Amdt 2:2007,TELMANN,3.5,False,Timer,China,425.0,685.0,Each individual model number listed above,TEL35D,AS/NZS 2442.1:1996,155,2.1,2.0,Strong Dry,220.0,"Australia,New Zealand",Expired,23430,2.71,,Vented,630.0,2010-12-02,,
