ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class
AS/NZS 2040.2:1998 (Legacy),SMEG,7.5,,417,NA,126.4,False,Dual,Chile,True,547.0,Drum,885.0,31.36,No,Top,Drum,S850,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,3.0,,,HEAVY,New Zealand,0.0,26482,Superseded,59.0,157.76,Drum,0.57,540.0,,2007-03-31,
AS/NZS 2040.2:1998 (Legacy),SMEG,7.5,,419,Heavy,126.76,False,Dual,Chile,False,547.0,Drum,885.0,28.93,No,Top,Drum,S800,AS/NZS 2040.1:2005/Amdt 3:2010,3.12,3.0,,,Confirmed,New Zealand,0.0,34578,Superseded,57.0,155.7,Drum,0.62,540.0,,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),HITACHI,7,,226,,67.5,False,Cold,Thailand,,590.0,,860.0,0.2,No,Front,Drum,HWF-1200X,AS/NZS 2040.1:2005/Amdt 3:2010,4.0,4.0,,,"Cottons 40 C, Intensive, 1000 RPM","Australia,New Zealand",,21355,Expired,132.0,67.7,Drum,0.657,600.0,2010-09-22,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),TECHNIKA,7,,402,,41.6,False,Dual,Turkey,,,Drum,,9.9,Yes on the warm wash program only,Front,Drum,TFLE1200,AS/NZS 2040.1:2005/Amdt 3:2010,3.0652,3.0,,,"Cotton, 60 degrees","Australia,New Zealand",,26003,Superseded,130.0,51.5,Drum,0.615,,2011-04-18,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,7,,257,Cotton 40 (Linen/Easycare 40),74.9,False,Cold,Germany,,600.0,Drum,850.0,0.5,Yes on the warm wash program only,Front,Drum,LL1600,AS/NZS 2040.1:2005/Amdt 3:2010,4.162,4.0,,,Linen/Easycare 40,New Zealand,,33616,Superseded,132.0,75.4,Drum,0.552,600.0,,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),TELMANN,8.5,119,824,REGULAR,139.0,False,Dual,China,,,,,41.0,No,Top,Agitator,TEL85TL,AS/NZS 2040.1:2005/Amdt 3:2010,1.61,1.5,,,REGULAR,"Australia,New Zealand",,25312,Expired,84.0,181.0,Non-Drum,0.786,,2011-03-28,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),TELMANN,8.5,119,824,REGULAR,139.0,False,Dual,China,,,,,41.0,No,Top,Agitator,XQJ85-97,AS/NZS 2040.1:2005/Amdt 3:2010,1.61,1.5,,,REGULAR,"Australia,New Zealand",,25312,Expired,84.0,181.0,Non-Drum,0.786,,2011-03-28,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,5.5,57,654,Normal ,79.9,False,Dual,Thailand,,,Non Drum,,33.5,No,Top,Impeller,WT-H555TH,AS/NZS 2040.1:2005/Amdt 3:2010,1.09528053,1.0,,,Normal ,"Australia,New Zealand",,27511,Superseded,74.0,113.4,Non-Drum,0.786,,2011-06-25,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,5,41,546,Normal ,81.6,False,Dual,Thailand,,,Non Drum,,30.2,No,Top,Impeller,WF-T506,AS/NZS 2040.1:2005/Amdt 3:2010,1.31995807,1.0,,,Normal ,"Australia,New Zealand",,27467,Superseded,56.0,111.8,Non-Drum,0.777,,2011-06-22,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,7.5,76,847,Normal ,124.3,False,Dual,Thailand,,,Non Drum,,44.6,No,Top,Impeller,WT-H755TH,AS/NZS 2040.1:2005/Amdt 3:2010,1.2380709,1.0,,,Normal ,"Australia,New Zealand",,27513,Superseded,86.0,168.9,Non-Drum,0.773,,2011-06-25,2007-03-31,
