Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class
53505,Kogan,LC-22A51(DVB-T),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,LC-22A40(DVB-T+DVD),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,LC-22A40(DVB-T),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,LC-22A41(DVB-T+DVD),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,LC-22A41(DVB-T),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,LC-22A50(DVB-T+DVD),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,LC-22A50(DVB-T),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,LC-22A78D(DVB-T+DVD),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,LC-22A78D(DVB-T),"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
53505,Kogan,KGN1080PPRO22VBA,"Australia,New Zealand",China,54.68,1277.8,LCD,0.68,0.0,0.0,48.6,4.0,4.069,182.0,Approved,2015-11-08,,
