"","Brand","Model_No","Country","C.Power_Inp_Rated","sri2010_cool","Star2010_Cool","C.Dehumid_Rated","Configuration1","Configuration2","Type"
"1","Haier","AD722AHEAA/AU72NATEAA","China",7.2,1.6234,1.5,5.5,"Ducted","Single Split System","Reverse Cycle"
"2","MIDEA","MWF-16HRN1-QC1G","China",1.46,1.9464,1.5,1.1,"Non Ducted","Window Wall","Reverse Cycle"
"4","MITSUBISHI ELECTRIC","MSZ-GE33VA","Thailand",0.91,2.8576,2.5,0.49,"Non Ducted","Single Split System","Reverse Cycle"
"5","AQUILON","RIH110A(outdoor unit); DIV110A (indoor unit)","China",3.25,1.7208,1.5,0,"Ducted","Single Split System","Reverse Cycle"
"11","AUX","AC18F","China",1.45,1.8834,1.5,1.333,"Non Ducted","Single Split System","Reverse Cycle"
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","FDEN71VNXVD","Thailand,Japan",2.11,1.3824,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK35ZIX-S","Thailand",0.85,3.3076,3,0.3,"Non Ducted","Single Split System","Reverse Cycle"
"17","TOSHIBA","RAS-B16UFV-A & RAS-16UAVR-A","Thailand",1.45,1.9086,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"18","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK13YJ-S","Thailand",0.99,2.3494,2,0.5,"Non Ducted","Single Split System","Cooling Only"
"24","MIDEA","MWF-09HRN1-QC1G","China",0.84,2.006,2,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"25","MIDEA","MWF-21CRN1-QC1G","China",1.87,1.938,1.5,1.49,"Non Ducted","Window Wall","Cooling Only"
"29","LENNOX","LNW060X","China",1.87,2.0294,2,1.25,"Non Ducted","Window Wall","Reverse Cycle"
"30","LENNOX","LNW047X","China",1.46,1.9464,1.5,1.09,"Non Ducted","Window Wall","Reverse Cycle"
"31","LENNOX","LNW022X","China",0.68,2.065,2,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"33","Haier","AD242AMERA/AU242AGERA","China",2.45,0.969,1,1.8,"Ducted","Single Split System","Reverse Cycle"
"36","Panasonic","CS-E15HB4EA/CU-E15HBR","Malaysia",1.3,1.4688,1,0.2,"Non Ducted","Single Split System","Reverse Cycle"
"37","YORK","YJHC24FSAAAA-IIIS","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"38","Panasonic","CS-E12GFEW/CU-E12GFR","Malaysia,Japan",0.86,2.9744,2.5,0.68,"Non Ducted","Single Split System","Reverse Cycle"
"39","Haier","AD242ALEAA/AU242AGEAA","China",2.55,1.337,1,2,"Ducted","Single Split System","Reverse Cycle"
"40","DAIKIN","FTXR50K / RXR50K","Thailand,Japan",1.47,1.8782,1.5,1.23,"Non Ducted","Single Split System","Reverse Cycle"
"41","TOSHIBA","RAS-B13UFV-A & RAS-13SAVR-A2","Thailand",1.02,2.2084,2,1.05,"Non Ducted","Single Split System","Reverse Cycle"
"43","TOSHIBA","RAS-B18UFV-A & RAS-18SAV2-A","Thailand",1.63,1.4182,1,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"44","LENNOX","LNE050C/LNC050C","China",1.57,2.0096,2,1.33,"Non Ducted","Single Split System","Reverse Cycle"
"45","LENNOX","LNE032C/LNC032C","China",0.91,2.5426,2.5,0.32,"Non Ducted","Single Split System","Reverse Cycle"
"47","Gree","GWH18MC-K3DNA3A","China",1.64,1.574,1.5,1.29,"Non Ducted","Single Split System","Reverse Cycle"
"48","Gree","GJH18AC-K3RNB9A","China",1.76,1.5386,1.5,1.58,"Non Ducted","Packaged","Reverse Cycle"
"49","Gree","GJH24AC-K3RNB9A","China",1.99,1.5128,1.5,1.79,"Non Ducted","Window Wall","Reverse Cycle"
"50","Gree","GWH09MB-K3NNA3B","China",0.8,2.2656,2,0.426,"Non Ducted","Single Split System","Reverse Cycle"
"51","Gree","GJH18AC-K3RNB9B","China",1.56,1.6767,1.5,0.99,"Non Ducted","Window Wall","Reverse Cycle"
"52","Panasonic","CS-E7LKR/CU-E7LKR","Malaysia",0.46,3.766,3.5,0.1,"Non Ducted","Single Split System","Reverse Cycle"
"53","Gree","GWH24MD-K3NNA3B","China",2.04,1.5658,1.5,1.72,"Non Ducted","Single Split System","Reverse Cycle"
"54","Gree","GJC07AB-K3RNB9A","China",0.75,1.46,1,0.24,"Non Ducted","Window Wall","Cooling Only"
"55","GREE","GWH24MD-K3NNA4B","China",2.04,1.5658,1.5,1.57,"Non Ducted","Single Split System","Reverse Cycle"
"56","GREE","GWH24MD-K3NNA2B","China",2.04,1.5658,1.5,1.57,"Non Ducted","Single Split System","Reverse Cycle"
"57","GREE","GWH24MD-K3NNA3B","China",2.04,1.5658,1.5,1.57,"Non Ducted","Single Split System","Reverse Cycle"
"61","CHIGO","CS-70V3A-Q*ASC","China",2.32,1.3082,1,1.18,"Non Ducted","Single Split System","Reverse Cycle"
"62","CHIGO","CS-35V3A-P*AH4L","China",1.06,2.1304,2,0.17,"Non Ducted","Single Split System","Reverse Cycle"
"63","CHIGO","CS-25V3A-M*AH4L","China",0.75,2.58,2.5,0.32,"Non Ducted","Single Split System","Reverse Cycle"
"64","CHIGO","CSS-70H3A-W*ASB","China",2.2,1.3824,1,2,"Non Ducted","Single Split System","Reverse Cycle"
"65","TOSHIBA","RAS-B13UFV-A & RAS-13SAVR-A2","Thailand",1.02,2.2084,2,1.05,"Non Ducted","Single Split System","Reverse Cycle"
"66","GREE","GJHM12ADNK1A3A","China",1.23,1.2352,1,0.75,"Non Ducted","Window Wall","Reverse Cycle"
"67","GREE","GJHN24A3NK1KA","China",2.05,1.1964,1,1.35,"Non Ducted","Window Wall","Reverse Cycle"
"70","MITSUBISHI HEAVY INDUSTRIES LTD.","FDTC5OZIXVD","Thailand",1.56,2.0462,2,1.46,"Non Ducted","Single Split System","Reverse Cycle"
"71","MITSUBISHI HEAVY INDUSTRIES LTD.","FDTC50ZIXVB","Thailand",1.56,2.0462,2,1.46,"Non Ducted","Single Split System","Reverse Cycle"
"93","TOSHIBA","RAS-B16SKVP-E & RAS-16SAVP-E","Japan",1.35,1.8514,1.5,1.15,"Non Ducted","Single Split System","Reverse Cycle"
"94","TOSHIBA","RAS-B13SKVP-E & RAS-13SAVP-E","Japan",0.85,3.1604,3,0.9,"Non Ducted","Single Split System","Reverse Cycle"
"96","MIDEA","MWF-18HRN1-QC1G","China",1.59,2.0308,2,1.23,"Non Ducted","Window Wall","Reverse Cycle"
"97","Gree","GWHD18ACNK3A1A","China",1.54,1.8752,1.5,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"98","Gree","GJH12AD-K3MNB8A","China",1.23,1.4805,1,0.61,"Non Ducted","Window Wall","Reverse Cycle"
"100","TOSHIBA","RAS-18SKV-A & RAS-18SAV2-A","Thailand",1.42,2.2104,2,1.8,"Non Ducted","Single Split System","Reverse Cycle"
"101","TOSHIBA","RAS-B10SKVP-E & RAS-10SAVP-E","Japan",0.49,4.7154,4.5,0.65,"Non Ducted","Single Split System","Reverse Cycle"
"102","GREE","GWH18MC-K3NNA7B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"103","GREE","GWH18MC-K3NNA6B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"104","GREE","GWH18MC-K3NNA5B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"105","GREE","GWH18MC-K3NNA4B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"106","GREE","GWH18MC-K3NNA2B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"107","GREE","GWH18MC-K3NNA3B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"108","GREE","GWH09MB-K3NNA2B","China",0.8,2.2656,2,0.45,"Non Ducted","Single Split System","Reverse Cycle"
"109","GREE","GWH09MB-K3NNA3B","China",0.8,2.2656,2,0.45,"Non Ducted","Single Split System","Reverse Cycle"
"110","GREE","GWH09MB-K3NNA4B","China",0.8,2.2656,2,0.45,"Non Ducted","Single Split System","Reverse Cycle"
"111","GREE","GJH18AC-K3MNB8A","China",1.76,1.5374,1.5,1.57,"Non Ducted","Window Wall","Reverse Cycle"
"112","CARRIER","42NQV060M-A & 38NYV060M-A","Thailand",2,1.1876,1,2,"Non Ducted","Single Split System","Reverse Cycle"
"113","BENSON","BEN 36 HID/HCU","Thailand",3.4,1.3582,1,2.4,"Ducted","Single Split System","Reverse Cycle"
"114","BENSON","BENDX 1T D 103 R/RC","Thailand",3.4,1.3582,1,2.4,"Ducted","Single Split System","Reverse Cycle"
"118","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK50ZJ-S","Thailand",1.55,1.7172,1.5,1.234,"Non Ducted","Single Split System","Reverse Cycle"
"121","TOSHIBA","RAS-18SKVR-A & RAS-18SAV2-A","Thailand",1.42,2.27,2,1.8,"Non Ducted","Single Split System","Reverse Cycle"
"123","CARRIER","42NQV050M-A & 38NYV050M-A","Thailand",1.51,2.21,2,1.8,"Non Ducted","Single Split System","Reverse Cycle"
"124","BENSON","BENDX 1P ACHW 65 R/RC","China",2,1.4846,1,1.48,"Non Ducted","Single Split System","Reverse Cycle"
"125","BENSON","BENDX 1P ACHW 34 R/RC","China",1,2.3482,2,0.76,"Non Ducted","Single Split System","Reverse Cycle"
"133","KELVINATOR","KSE62HRB","China",1.99,1.8,1.5,1.239,"Non Ducted","Single Split System","Reverse Cycle"
"134","BENSON","BENDX 1T D 123 R/RC","Thailand",3.68,1.9056,1.5,2.76,"Ducted","Single Split System","Reverse Cycle"
"135","BENSON","BEN 56 HID / HCU","Thailand",5.1,1.5994,1.5,4.07,"Ducted","Single Split System","Reverse Cycle"
"136","BENSON","BENDX 1T D 163 R/RC","Thailand",5.1,1.5994,1.5,4.07,"Ducted","Single Split System","Reverse Cycle"
"137","KELVINATOR","KSE26CRB","China",0.77,2.56,2.5,0.39,"Non Ducted","Single Split System","Cooling Only"
"140","Panasonic","CS-HE12GKE/CU-HE12GKE","Malaysia",0.85,3.18,3,0.4,"Non Ducted","Single Split System","Reverse Cycle"
