Appliance,Brand,Model.No,Country,CEC,SRI,Star,TotWatCons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value,Factoid4Name,Factoid4Value
Clothes Dryer,AEG,WP,Germany,121,6.41,6,0,5.5,Type,Condenser,Control,Autosensing,Combination,,Program Time,131
Clothes Dryer,GALANZ,XQG70-DA112PE,China,148,2.38964,2,0,3.5,Type,Vented,Control,Timer,Combination,TRUE,Program Time,235
Clothes Dryer,MIELE,T230C,Germany,209,2.46,2,0,5,Type,Condenser,Control,Autosensing,Combination,,Program Time,117
Clothes Dryer,MIELE,T253C,Germany,212,2.37,2,0,5,Type,Condenser,Control,Autosensing,Combination,,Program Time,114
Clothes Dryer,LG,WD14130FD6,"""Korea, Republic of""",215,1.638272,1.5,23.8,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,261
Clothes Dryer,LG,WD14130RD6,"""Korea, Republic of""",215,1.638272,1.5,23.8,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,261
Clothes Dryer,MIELE,T220,Germany,206,2.54,2.5,0,5,Type,Vented,Control,Autosensing,Combination,,Program Time,111
Clothes Dryer,LG,WD-1458RD,"""Korea, Republic of""",177,2.1102,2,41,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,200
Clothes Dryer,LG,WD-1457RD,"""Korea, Republic of""",177,2.1102,2,41,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,200
Clothes Dryer,LG,WD-1435 RD,"""Korea, Republic of""",174,2.2154,2,58,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,236
Clothes Dryer,OMEGA,WD1052,Italy,114,1.92,1.5,52,2.5,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,121
Clothes Dryer,LG,WD14700RD,"""Korea, Republic of""",174,2.2154,2,58,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,236
Clothes Dryer,ASKO,T720,Sweden,234,1.76,1.5,0,5,Type,Condenser,Control,Timer,Combination,,Program Time,120
Clothes Dryer,ELECTROLUX,EWW14791W,Italy,168,3.78,3.5,41,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,180
Clothes Dryer,ASKO,TD 22,Sweden,234,1.76,1.5,0,5,Type,Condenser,Control,Timer,Combination,,Program Time,120
Clothes Dryer,ELECTROLUX,EWD 1477,Italy,126,3.38,3,26,3.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,115
Clothes Dryer,Haier,GDZ22-1,China,443,2.1,2,0,10,Type,Vented,Control,Autosensing,Combination,,Program Time,120
Clothes Dryer,ELECTROLUX,EWD1477,Italy,140,2.73,2.5,25.4,3.5,Type,Condenser,Control,Manual,Combination,TRUE,Program Time,112
Clothes Dryer,SAMSUNG ELECTRONICS,WD7704C8C.,"""Korea, Republic of""",145,3.337,3,48.6,4,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,179
Clothes Dryer,SAMSUNG ELECTRONICS,WD8122CVW,"""Korea, Republic of""",265,2.1218,2,64.11,6,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,239
Clothes Dryer,WHIRLPOOL,AWZ233,France,256,2.33,2,0,6,Type,Vented,Control,Autosensing,Combination,,Program Time,150
Clothes Dryer,WHIRLPOOL,AWZ220,France,230,1.87,1.5,0,5,Type,Vented,Control,Timer,Combination,,Program Time,108
Clothes Dryer,MIELE,WT2670,Germany,84,3.8036,3.5,11.4,2.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,77.9
Clothes Dryer,LG,WD-1480 RD,"""Korea, Republic of""",142,3.4659,3,58,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,161
Clothes Dryer,Haier,XQG50-AB1100CTX,China,115,0.5,1,39,2,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,120
Clothes Dryer,LG,WD-1290 RD,"""Korea, Republic of""",210,2.4314,2,72,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,181
Clothes Dryer,MAYTAG,MDE 8550 AGW,United States,418,1.812,1.5,0,9,Type,Vented,Control,Autosensing,Combination,,Program Time,117
Clothes Dryer,ARISTON,AML 125,Italy,143,2.6177,2.5,31.5,3.5,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,150
Clothes Dryer,LG,WD-1433 RD,"""Korea, Republic of""",174,2.2154,2,58,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,236
Clothes Dryer,SAMSUNG ELECTRONICS,WD-J1255C,China,153,3.0068,3,41.36,4,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,178
Clothes Dryer,LG,WD-1485RD,"""Korea, Republic of""",163,2.6173,2.5,46,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,189
Clothes Dryer,INDESIT,WIDL 106.,Italy,143,2.6177,2.5,31.5,3.5,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,150
Clothes Dryer,INDESIT,WIDL106,Italy,150,3.1287,3,65,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,192
Clothes Dryer,LG,WD-1227RD,"""Korea, Republic of""",203,3.7618,3.5,62,6,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,175
Clothes Dryer,MIELE,T1526,Germany,247,2.55,2.5,0,6,Type,Vented,Control,Autosensing,Combination,,Program Time,130
