Appliance,Brand,Model.No,Country,CEC_,New.SRI,New.Star,Tot.Wat.Cons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value
Clothes Washer,SMEG,S850,Chile,417,3.2,3,157.76,7.5,Type,Drum,Loading,Top,Machine Action,Drum
Clothes Washer,SMEG,S800,Chile,419,3.12,3,155.7,7.5,Type,Drum,Loading,Top,Machine Action,Drum
Clothes Washer,HITACHI,HWF-1200X,Thailand,226,4,4,67.7,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,TECHNIKA,TFLE1200,Turkey,402,3.0652,3,51.5,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,LL1600,Germany,257,4.162,4,75.4,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,TELMANN,TEL85TL,China,824,1.61,1.5,181,8.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,TELMANN,XQJ85-97,China,824,1.61,1.5,181,8.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,LG,WT-H555TH,Thailand,654,1.09528053,1,113.4,5.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WF-T506,Thailand,546,1.31995807,1,111.8,5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WT-H755TH,Thailand,847,1.2380709,1,168.9,7.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WF-T656,Thailand,726,1.2527008,1,142.1,6.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,AEG,L50600,Germany,165,4.2996,4,60.2,5.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WD-1018C,China,221,4.52,4.5,73.4,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WD-1049C,China,221,4.52,4.5,73.4,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,L86800,Germany,261,4.1323,4,84.4,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,L74800,Germany,219,4.0697,4,71.3,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MAYTAG,MAV3700***,"""Korea, Republic of""",678,1.805172,1.5,160,7.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WD-1256RD,"""Korea, Republic of""",238,4.9192526,4.5,77.9,10,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WD-1255RD,"""Korea, Republic of""",238,4.9192526,4.5,77.9,10,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,RANK ARENA,RATLW7,China,1095,0.26,1,188.4,7,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,INDESIT,WIL82,Italy,299,3.4138,3,69.1,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,INDESIT,WI82 (AUS),Italy,299,3.4138,3,69.1,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ELECTROLUX,EWF1495,Thailand,371,3.682,3.5,66.4,8,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ELECTROLUX,EW1280F,Thailand,266,3.953,3.5,83.8,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,FISHER & PAYKEL,IW512,New Zealand,452,2.12819,2,72,5.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
