Appliance,Brand,Model.No,Country,CEC,SRI,Star,TotWatCons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value,Factoid4Name,Factoid4Value
Dish Washer,LG,LD-1204M,"""Korea, Republic of""",260,3.230114683,3,20,12,Type,Freestanding,Program Name,ECO 50,Program Time,97,Standby Power Usage,1.1
Dish Washer,LG,LD-1204W,"""Korea, Republic of""",260,3.230114683,3,20,12,Type,Freestanding,Program Name,ECO 50,Program Time,97,Standby Power Usage,1.1
Dish Washer,SMEG,STH905,Italy,233,3.53,3.5,12.6,12,Type,Built-in,Program Name,Normal ECO,Program Time,172,Standby Power Usage,0.064
Dish Washer,SMEG,SA626,Italy,269,3.56,3.5,21.5,14,Type,Freestanding,Program Name,Normal ECO,Program Time,125,Standby Power Usage,0.0673
Dish Washer,OMEGA,PL2006,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,OMEGA,DW2006,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,SMEG,STH903,Italy,281,3.012,3,14.7,12,Type,Built-in,Program Name,Normal ECO,Program Time,178,Standby Power Usage,0.064
Dish Washer,MIDEA,WQP12-9270,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,MIDEA,WQP12-9260A,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,MIDEA,WQP12-9242,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,MIDEA,WQP12-9250C,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,MIDEA,WQP12-9250B,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,MIDEA,WQP12-9257,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,SMEG,SA683-2,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,SMEG,PL8210,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,SMEG,SA8210,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,SMEG,SA683-1,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,SMEG,SA8200,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,SMEG,PL823,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,SMEG,SA823,Italy,261,3.21,3,16.9,12,Type,Freestanding,Program Name,Normal ECO,Program Time,117,Standby Power Usage,0.072
Dish Washer,MIDEA,DL06-01,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9265,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9240B,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9240AS,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9240A,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9240,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9235C,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9235B,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9235A,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,MIDEA,WQP12-9235,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,SANYO,DW-MS600F,China,336,2.51117,2.5,15.573,12,Type,Freestanding,Program Name,Normal setting,Program Time,136,Standby Power Usage,0.29352
Dish Washer,Haier,HDW101SS,China,387,2.114973099,2,14.6,12,Type,Freestanding,Program Name,Normal and Economy,Program Time,128,Standby Power Usage,0
Dish Washer,Haier,HDW101WH,China,387,2.114973099,2,14.6,12,Type,Freestanding,Program Name,Normal and Economy,Program Time,128,Standby Power Usage,0
Dish Washer,CANDY,CDCF  6-AUS,China,261,1.276,1,8.1,6,Type,Freestanding,Program Name,Normal,Program Time,123,Standby Power Usage,0.64
Dish Washer,CANDY,CDCF  6S-AUS,China,261,1.276,1,8.1,6,Type,Freestanding,Program Name,Normal,Program Time,123,Standby Power Usage,0.64
Dish Washer,OMEGA,PL401XA,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,OMEGA,DW401WA,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,OMEGA,DW401XA,China,277,3.06268,3,14.1,12,Type,Freestanding,Program Name,Normal,Program Time,129,Standby Power Usage,0.2927
Dish Washer,VENETO,VDW6**,China,387,2.114973099,2,14.6,12,Type,Freestanding,Program Name,Normal and Economy,Program Time,128,Standby Power Usage,0
Dish Washer,SAGI,SADE12S,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,Normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,SAGI,SADE12W,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,Normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,ST GEORGE,8516200,China,327,2.5873,2.5,10.5,12,Type,Built-in,Program Name,Normal,Program Time,140,Standby Power Usage,0.2
Dish Washer,Haier,HDW104**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Haier,HDW103**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Haier,HDW102**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Haier,HDW101**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Haier,HDW100**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Levante,LEV-DW605A,China,311,2.7279,2.5,12,12,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0
Dish Washer,ARDA,RV45DWSS,China,244,2.27,2,12.12,8,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0
Dish Washer,DELONGHI,DW67S,China,319,2.65674,2.5,15.7,12,Type,Freestanding,Program Name,Normal ,Program Time,124,Standby Power Usage,1.5
Dish Washer,DELONGHI,DW67W,China,319,2.65674,2.5,15.7,12,Type,Freestanding,Program Name,Normal ,Program Time,124,Standby Power Usage,1.5
Dish Washer,DELONGHI,DW47S,China,319,2.65674,2.5,15.7,12,Type,Freestanding,Program Name,Normal ,Program Time,124,Standby Power Usage,1.5
