Appliance,Brand,Model.No,Country,CEC,SRI,Star,Cap,,,,,,,,
Refridgerator,JENN-AIR,JCBDDD-25***,United States,796,1.7704,1.5,734.51,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,ELECTROLUX,N440SE,Australia,496,2.4197,2,442,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,JENN-AIR,JCBDDD-20***,United States,738,1.5754,1.5,587.93,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,ELECTROLUX,ETE4400S,Australia,496,2.4197,2,442,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SIMPSON,SR390,Australia,463,2.4453,2,393,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GR-349SQFA,China,485,1.936,1.5,305,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,LG,GR-B218NI,"""Korea, Republic of""",678,2.0277,2,622,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,ELECTROLUX,EBM4307S,Australia,406,3.2091,3,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,EBM4300S,Australia,406,3.2091,3,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GR-F258TS,"""Korea, Republic of""",682,2.4206,2,751,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,CENTREX,CTF360A,,450,2.47,2,366.65,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Chill,Fresh Food",,FALSE
Refridgerator,LEMAIR,CF-145K,China,258,3.0361,3,145.7,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,DAEWOO,FR-147,"""Korea, Republic of""",311,0.9345,1,129,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
