Appliance,Brand,Model.No,Country,CEC,SRI,Star,Cap,,,,,,
Television,Kogan,LC-22A51(DVB-T),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,LC-22A40(DVB-T+DVD),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,LC-22A40(DVB-T),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,LC-22A41(DVB-T+DVD),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,LC-22A41(DVB-T),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,LC-22A50(DVB-T+DVD),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,LC-22A50(DVB-T),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,LC-22A78D(DVB-T+DVD),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,LC-22A78D(DVB-T),China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,Kogan,KGN1080PPRO22VBA,China,182,4.069,4,54.68,Screen Technology,LCD,Screen area,1277.8,Average mode power,48.6
Television,CELESTIAL,CT6801S(PF),China,409,2.185,2,68,Screen Technology,CRT,Screen area,2219.5,Average mode power,107
Television,LG,26LE3300-TA,Indonesia,148,6.16,6,66.06,Screen Technology,LCD (LED),Screen area,1865,Average mode power,36.66
Television,CELESTIAL,CT5101S,China,258,2.634,2.5,51,Screen Technology,CRT,Screen area,1335.6,Average mode power,65
Television,VOXSON,VLCD32XPD,China,485,2.162,2,80,Screen Technology,LCD,Screen area,2744,Average mode power,130.8
Television,WINTAL,32LCD11FHD,China,278,4.655,4.5,80.137,Screen Technology,LCD,Screen area,2743.7,Average mode power,75.02
Television,Magnavox,L22AO,China,190,3.877,3.5,54,Screen Technology,LCD,Screen area,1278.4,Average mode power,50.7
Television,Metz,Primus 55 FHDTV 200 R,Germany,931,3.566,3.5,140,Screen Technology,LCD (LED),Screen area,8343.3,Average mode power,251
Television,CONIA,CE2201HDVDR,China,147,5.103,5,54.8,Screen Technology,LCD (LED),Screen area,1312.1,Average mode power,39.1
